Spacecraft,Spacecraft.1,Organization,Date,Type,Status,Notes,Image,Ref,Destination,Target
Near-Earth Asteroid Scout,Near-Earth Asteroid Scout,NASA,16 November 2022 (launch),flyby,failure,Small spacecraft asteroid flyby technology demonstration. Communication failure,,NEA-SCOUT,Asteroid,2020 GE (tentative)
Lucy,Lucy,NASA,1 November 2023,flyby,success,main-belt asteroid flyby en route to Jupiter Trojans; minimum distance 425 km; discovered a natural satellite of the asteroid,,2021-093A,Asteroid,152830 Dinkinesh
Lucy,Lucy,NASA,April 2025,flyby,enroute,main-belt asteroid flyby en route to Jupiter Trojans,,2021-093A,Asteroid,52246 Donaldjohanson
Psyche,Psyche,NASA,13 October 2023 (launch)  April 2029 (arrival),orbiter,enroute,Selected for mission #14 of NASA's Discovery Program to explore a metallic asteroid.,,,Asteroid,16 Psyche
Tianwen-2 (ZhengHe),Tianwen-2 (ZhengHe),CNSA,May 2025 (launch)  2026 (orbit),sample return,planned,orbit then return sample from an Apollo NEA,,,Asteroid,469219 Kamoʻoalewa
China Asteroid deflection probe,China Asteroid deflection probe,CNSA,2025 (launch),flyby/impactor,planned,probes to observe/impact an Aten NEA,,,Asteroid,2019 VL5
Hayabusa2,Hayabusa2,JAXA,2026,flyby,en route,,,2014-076A,Asteroid,2001 CC21
Lucy,Lucy,NASA,August 2027,flyby,enroute,First flyby of a Jupiter trojan,,2021-093A,Asteroid,3548 Eurybates
Lucy,Lucy,NASA,September 2027,flyby,enroute,,,2021-093A,Asteroid,15094 Polymele
Hera,Hera,ESA,2027,orbiter,planned,studying effects of DART's impact on the asteroid,,,Asteroid,65803 Didymos
APEX,APEX,ESA,,lander,planned,,,,Asteroid,(65803) Dimorphos
Juventas,Juventas,ESA,,lander,planned,,,,Asteroid,(65803) Dimorphos
Lucy,Lucy,NASA,April 2028,flyby,enroute,,,2021-093A,Asteroid,11351 Leucus
Lucy,Lucy,NASA,November 2028,flyby,enroute,,,2021-093A,Asteroid,21900 Orus
DESTINY+,DESTINY+,JAXA,2024 (launch)  2028 (flyby),flyby,planned,First flyby of a rock comet,,,Asteroid,3200 Phaethon
JUICE,JUICE,ESA,14 April 2023 (launch)  2028 (flyby),Flyby,enroute,en route to Jupiter and it's moons,,,Asteroid,223 Rosa
OSIRIS-APEX (formerly OSIRIS-REx),OSIRIS-APEX (formerly OSIRIS-REx),NASA,2029,orbiter,planned after Bennu sample return,study of a C-type asteroid in 2029,,2016-055A,Asteroid,99942 Apophis
Hayabusa2,Hayabusa2,JAXA,2030,flyby,en route,flyby of a fast rotator asteroid,,2014-076A,Asteroid,1998 KY26
Tianwen-2 (ZhengHe),Tianwen-2 (ZhengHe),CNSA,May 2025 (launch)  2034 (orbit),"orbiter, lander",planned,study of an asteroid/main-belt comet,,,Asteroid,P/2013 P5
Lucy,Lucy,NASA,March 2033,flyby,enroute,First flyby of a Trojan Camp Jupiter Trojan,,2021-093A,Asteroid,Patroclus and Menoetius
Pioneer 10,Pioneer 10,NASA,3 December 1973,flyby,success,first probe to cross the asteroid belt; first Jupiter probe; first man-made object on an interstellar trajectory; now in the outer regions of the Solar System but no longer contactable,,1972-012A,Jupiter,
Pioneer 11,Pioneer 11,NASA,4 December 1974,flyby,success,went on to visit Saturn,,1973-019A,Jupiter,
Voyager 1,Voyager 1,NASA,5 March 1979,flyby,success,went on to visit Saturn,,1977-084A,Jupiter,
Voyager 2,Voyager 2,NASA,9 July 1979,flyby,success,"went on to visit Saturn, Uranus and Neptune",,1977-076A,Jupiter,
Ulysses(first pass),Ulysses(first pass),ESA/ NASA,February 1992,flyby,success,gravity assist en route to inclined heliocentric orbit for solar polar observations,,1990-090B,Jupiter,
Galileo Orbiter,Galileo Orbiter,NASA/ West Germany,7 December 1995 –21 September 2003,orbiter,success,also flew by various of Jupiter's moons; intentionally flown into Jupiter at end of mission; first spacecraft to orbit Jupiter; first spacecraft to flyby an asteroid,,1989-084B,Jupiter,
Cassini,Cassini,NASA/ ESA/ ASI,December 2000,flyby,success,gravity assist en route to Saturn,,1997-061A,Jupiter,
Ulysses(second pass),Ulysses(second pass),ESA/ NASA,2003–04,distant flyby,success,,,1990-090B,Jupiter,
New Horizons,New Horizons,NASA,28 February 2007,flyby,success,gravity assist en route to Pluto,,2006-001A,Jupiter,
Juno,Juno,NASA,"5 July 2016 – July 2018, extended to July 2021 and then September 2025",orbiter,success,"First solar-powered Jupiter orbiter, first mission to achieve a polar orbit of Jupiter.",,2011-040A,Jupiter,
JUICE,JUICE,ESA,14 April 2023 (launch),orbiter,enroute,"mission to study Jupiter's three icy moons Callisto, Europa and Ganymede, eventually orbiting Ganymede as the first spacecraft to orbit a satellite of another planet.",,,Jupiter,
Europa Clipper,Europa Clipper,NASA,2024,orbiter,planned,planned to orbit Jupiter and fly by Europa multiple times,,,Jupiter,
IHP-1,IHP-1,CNSA,"2024 (launch), 2029 (Jupiter closest approach)",flyby,under study,Proposed Interstellar Heliosphere Probe with Jovian gravity assist,,,Jupiter,
IHP-2,IHP-2,CNSA,"2025 (launch), 2033 (Jupiter closest approach)",flyby,under study,Proposed Interstellar Heliosphere Probe with Jovian gravity assist (and later Neptune and KBO flybys),,,Jupiter,
Tianwen-4,Tianwen-4,CNSA,September 2029,orbiter,planned,Planned Jupiter orbiter with attached Uranus probe,,,Jupiter,
JUICE,JUICE,ESA,14 April 2023 (launch),orbiter,enroute,"mission to study Jupiter's three icy moons Callisto, Europa and Ganymede, eventually orbiting Ganymede as the first spacecraft to orbit a satellite of another planet.",,,Ganymede,
Pioneer 11,Pioneer 11,NASA,1 September 1979,flyby,success,previously visited Jupiter,,1973-019A,Saturn,
Voyager 1,Voyager 1,NASA,12 November 1980,flyby,success,previously visited Jupiter,,1977-084A,Saturn,
Voyager 2,Voyager 2,NASA,5 August 1981,flyby,success,"previously visited Jupiter, went on to visit Uranus and Neptune",,1977-076A,Saturn,
Cassini,Cassini,NASA/ ESA/ ASI,1 July 2004 – 15 September 2017,orbiter,success,"also performed flybys of a number of Saturn's moons, and deployed the Huygens Titan lander; first spacecraft to orbit Saturn",,1997-061A,Saturn,
Huygens,,ESA,14 January 2005,"atmospheric probe, lander",success,deployed by Cassini; first probe to land on a satellite of another planet,,1997-061C,Titan,
Dragonfly,,NASA,July 2028,rotorcraft lander,planned,"planned lander and aircraft, study prebiotic chemistry and extraterrestrial habitability.",,,Titan,
Voyager 2,Voyager 2,NASA,24 January 1986,flyby,success,previously visited Jupiter and Saturn; went on to visit Neptune,,1977-076A,Uranus,
Tianwen-4,Tianwen-4,CNSA,2029 or early 2030s,flyby,planned,Planned Jupiter orbiter with attached Uranus probe,,,Uranus,
Uranus Orbiter and Probe,Uranus Orbiter and Probe,NASA,2031,Orbiter and Probe,under study,highest priority Flagship-class mission by the 2023–2032 Planetary Science Decadal Survey,,,Uranus,
Voyager 2,Voyager 2,NASA,25 August 1989,flyby,success,"previously visited Jupiter, Saturn and Uranus",,1977-076A,Neptune,
IHP-2,IHP-2,CNSA,"2024 (launch), 2038 (Neptune closest approach)",flyby,under study,Proposed heliosphere probe with Neptunian flyby and possible atmospheric probe,,,Neptune,
New Horizons,New Horizons,NASA,14 July 2015,flyby,success,later flew by Kuiper belt object 486958 Arrokoth when it was 43.4 AU from the Sun.,,2006-001A,Pluto,
ICE (formerly ISEE3),ICE (formerly ISEE3),NASA,11 September 1985,flyby,success,previously solar monitor ISEE3; went on to observe Halley's Comet,,1978-079A,Comet,21P/Giacobini-Zinner
Vega 1,Vega 1,SAS,6 March 1986,flyby,success,"minimum distance 8,890 km; previously visited Venus",,1984-125A,Comet,1P/Halley
Suisei,Suisei,ISAS,8 March 1986,flyby,success,"151,000 km",,1985-073A,Comet,1P/Halley
Vega 2,Vega 2,SAS,9 March 1986,flyby,success,"minimum distance 8,890 km; previously visited Venus",,1984-128A,Comet,1P/Halley
Sakigake,Sakigake,ISAS,March 1986,distant flyby,partial success,minimum distance 6.99 million km,,1985-001A,Comet,1P/Halley
Giotto,Giotto,ESA,14 March 1986,flyby,success,minimum distance 596 km; went on to visit comet 26P/Grigg–Skjellerup,,1985-056A,Comet,1P/Halley
ICE  (formerly ISEE3),ICE  (formerly ISEE3),NASA,28 March 1986,distant obser-vations,success,minimum distance 32 million km; previously visited comet 21P/Giacobini–Zinner,,1978-079A,Comet,1P/Halley
Giotto,Giotto,ESA,10 July 1992,flyby,success,previously visited Halley's Comet,,1985-056A,Comet,26P/Grigg–Skjellerup
Sakigake,Sakigake,ISAS,1996,flyby,failure,contact lost; previously visited Halley's Comet,,1985-001A,Comet,45P/Honda–Mrkos–Pajdusakova
Sakigake,Sakigake,ISAS,1998,flyby,failure,contact lost; previously visited Halley's Comet,,1985-001A,Comet,21P/Giacobini-Zinner
Suisei,Suisei,ISAS,1998,flyby,failure,abandoned due to lack of fuel; previously visited Halley's Comet,,1985-073A,Comet,55P/Tempel-Tuttle
Suisei,Suisei,ISAS,1998,flyby,failure,abandoned due to lack of fuel; previously visited Halley's Comet,,1985-073A,Comet,21P/Giacobini-Zinner
Deep Space 1,Deep Space 1,NASA,January 2001,flyby,failure,"abandoned due to problems with the star tracker, but was re-tasked to fly by comet 19P/Borrelly",,1998-061A,Comet,107P/Wilson-Harrington
Deep Space 1,Deep Space 1,NASA,22 September 2001,flyby,success,previously visited asteroid 9969 Braille,,1998-061A,Comet,19P/Borrelly
CONTOUR,CONTOUR,NASA,2003,flyby,failure,contact lost shortly after launch,,2002-034A,Comet,2P/Encke
Stardust,Stardust,NASA,2 January 2004,"flyby, sample return",success,sample returned January 2006; also visited asteroid 5535 Annefrank,,1999-003A,Comet,81P/Wild
Deep Impact,Deep Impact,NASA,July 2005,flyby,success,,,2005-001A,Comet,9P/Tempel
CONTOUR,CONTOUR,NASA,2006,flyby,failure,contact lost shortly after launch,,2002-034A,Comet,73P/Schwassmann-Wachmann
CONTOUR,CONTOUR,NASA,2008,flyby,failure,contact lost shortly after launch,,2002-034A,Comet,6P/d'Arrest
Deep Impact (redesignated EPOXI),Deep Impact (redesignated EPOXI),NASA,4 November 2010,flyby,success,mission extension (target changed from comet Boethin),,2005-001A,Comet,103P/Hartley
Stardust (redesignated NExT),Stardust (redesignated NExT),NASA,14 February 2011,flyby,success,mission extension,,1999-003A,Comet,9P/Tempel
Rosetta,Rosetta,ESA,6 August 2014 – 30 September 2016,orbiter,success,flybys of asteroids 2867 Šteins and 21 Lutetia completed; intentionally impacted at end of mission,,2004-006A,Comet,67P/Churyumov–Gerasimenko
Comet Interceptor,Comet Interceptor,ESA,2029 (launch),flyby,planned,"flyby of a pristine comet, will initially be parked at the Sun-Earth L2 point until a suitable destination is identified",,,Comet,TBD(potentially an interstellar object)
Tianwen-2 (ZhengHe),Tianwen-2 (ZhengHe),CNSA,2025 (launch)  2034 (orbit),"orbiter, lander",planned,study of an asteroid/main-belt comet,,,Comet,311P/PANSTARRS
New Horizons,New Horizons,NASA,1 January 2019,flyby,success,"extended mission after Pluto, currently sending data from flyby; may flyby another object in 2020s.",,2006-001A,Belt,486958 Arrokoth
IHP-2,IHP-2,CNSA,"2024 (launch,) after 2038 (KBO flyby)",flyby,under study,Proposed Interstellar Heliosphere Probe with potential KBO target,,,Belt,To Be Determined
Pioneer 10,,NASA,,,success,Left Jupiter in December 1973. Mission ended March 1997. Last contact 23 January 2003. Craft now presumed dead; no further contact attempts planned.,,1972-012A,Interstellar,
Pioneer 11,,NASA,,,success,"Left Saturn in September 1979. Last contact September 1995. The craft's antenna cannot be maneuvered to point to Earth, and it is not known if it is still transmitting. No further contact attempts are planned.",,1973-019A,Interstellar,
Voyager 1,,NASA,,,success,Left Saturn in November 1980. Still in regular contact and transmitting scientific data.,,1977-084A,Interstellar,
Voyager 2,,NASA,,,success,Left Neptune in August 1989. Still in regular contact and transmitting scientific data.,,1977-076A,Interstellar,
New Horizons,,NASA,,,success,Left Pluto 14 July 2015; flew by Kuiper belt object 486958 Arrokoth on 1 January 2019 when it was 43.4 AU from the Sun.,,2006-001A,Interstellar,
IHP-1,,CNSA,,,under study,Proposed Interstellar Heliosphere Probe with a 2024 launch date. Anticipated to reach a distance of at least 85 AU from Earth by 2049,,,Interstellar,
IHP-2,,CNSA,,,under study,Proposed Interstellar Heliosphere Probe with a 2024 launch date. Anticipated to reach a distance of at least 83 AU from Earth by 2049,,,Interstellar,
